User Query,Keywords,Extracted Sentences,Chunk Context,Page,Heading,Document,MoR Fused Score,Cross Encoder Score,Final MoR Score,Contributing Retrievers,Sentence Similarity,Ultimate Score,Rank,Retriever Contributions
To what extent are the organization's products and services information-based or information-enabled?,Algorithmic Processes; Algorithms; Analytics; Client Experience; Client Value Development; Competitive Advantage; Customer Experience; Customer Value Creation; Customized Suggestions; Data Analysis; Data Analytics; Delivery; Distribution; Effortless Transactions; Enable Differentiation; Facilitate Differentiation; Incorporation; Info-enabled; Information-based; Information-driven; Information-enabled; Instant Matching; Integration; Live Matching; Manufacturing; Market Differentiation; Optimization; Optimized; Personalized Recommendations; Physical goods; Physical products; Product; Production; Products; Promote Distinction; Real-time Matches; Seamless Transactions; Service integration; Services; Smooth Transactions; Strategic planning; Strategy; Tailored Advice; Unique Selling Proposition; User Experience; Value Generation; Value offering; Value proposition; analog; analytics; basic; business; business analytics; business intelligence; business strategy; business value; company; competitive advantage; competitive edge; corporate strategy; data; data analysis; data incorporation; data insights; data integration; data management; data-driven; delivery; design; development; enterprise; execution; goods; inefficient resource use; information; information integration; information management; integrating data; inventory optimization; less than optimal outcomes; limited; market advantage; minimal; new revenue streams; non-digital; offerings; optimize inventory; organization; organized management; outcomes; performance; physical; products; profit streams; resource inefficiency; resource management; resource utilization; results; revenue generation; services; solutions; strategic advantage; structured coordination; sub-optimal outcomes; suboptimal results; systematic orchestration; tangible; unlock revenue; value offering; value proposal; value proposition; value propositions,No relevant sentences found,"In CHF (gross) 1 CEO Other ECN 2 Total CEO Other ECN 3 Total Annual base salary 1 865 483 8 985 234 10 850 717 1 822 334 8 551 936 10 374 269 Annual Incentive (performance achieved) 4 494 788 15 051 053 19 545 841 5 075 255 15 449 571 20 524 826 Thereof cash 3 146 304 7 279 690 10 425 994 2 537 599 6 149 179 8 686 778 Thereof equity 1 348 484 7 771 363 9 119 847 4 2 537 656 9 300 392 11 838 048 5 LTPP (performance achieved) 12 468 155 23 212 440 35 680 595 6 8 921 546 15 100 093 24 021 639 7 Other payments 8 164 750 7 371 770 7 536 520 9 258 918 6 475 697 6 734 615 Pension benefits 10 172 722 1 959 918 2 132 640 11 170 125 1 627 708 1 797 833 12 Total 19 165 899 56 580 414 75 746 314 16 248 178 47 205 005 13 63 453 183 1 All compensation amounts are stated gross, before the deduction of social security contributions and income tax paid by the Executive Committee members. Amounts for Executive 
Committee members paid in USD were converted at a rate of USD 1.00 = CHF 0.8805, which is the",79,,page79_chunk002,0.2297,-11.2115,-7.7792,1,0.0,-7.7792,112,minilm:0.809
To what extent are the organization's products and services information-based or information-enabled?,Algorithmic Processes; Algorithms; Analytics; Client Experience; Client Value Development; Competitive Advantage; Customer Experience; Customer Value Creation; Customized Suggestions; Data Analysis; Data Analytics; Delivery; Distribution; Effortless Transactions; Enable Differentiation; Facilitate Differentiation; Incorporation; Info-enabled; Information-based; Information-driven; Information-enabled; Instant Matching; Integration; Live Matching; Manufacturing; Market Differentiation; Optimization; Optimized; Personalized Recommendations; Physical goods; Physical products; Product; Production; Products; Promote Distinction; Real-time Matches; Seamless Transactions; Service integration; Services; Smooth Transactions; Strategic planning; Strategy; Tailored Advice; Unique Selling Proposition; User Experience; Value Generation; Value offering; Value proposition; analog; analytics; basic; business; business analytics; business intelligence; business strategy; business value; company; competitive advantage; competitive edge; corporate strategy; data; data analysis; data incorporation; data insights; data integration; data management; data-driven; delivery; design; development; enterprise; execution; goods; inefficient resource use; information; information integration; information management; integrating data; inventory optimization; less than optimal outcomes; limited; market advantage; minimal; new revenue streams; non-digital; offerings; optimize inventory; organization; organized management; outcomes; performance; physical; products; profit streams; resource inefficiency; resource management; resource utilization; results; revenue generation; services; solutions; strategic advantage; structured coordination; sub-optimal outcomes; suboptimal results; systematic orchestration; tangible; unlock revenue; value offering; value proposal; value proposition; value propositions,No relevant sentences found,"The significance and usage of 
these inputs to each contingent consideration may vary 
due to differences in the timing and triggering events for 
payments or in the nature of the asset related to the con-
tingent consideration. If the most significant parameters for the Level 3 input 
were to change by 10% positively or negatively, or where 
the probability of success (POS) is the most significant 
input parameter, 10% were added or deducted from the 
applied probability of success, for contingent consider-
ation payables and contingent consideration receivables, 
this would change the amounts recorded in the 2024 
consolidated income statement by USD 141 million and 
USD 135 million, respectively. Equity securities measured at fair 
value through other comprehensive 
income
Equity securities held as strategic investments, typically 
held outside the Novartis Venture Fund, are generally 
designated at date of acquisition as financial assets val-
ued at fair value through other compreh",236,,page236_chunk002,0.022,-11.1575,-7.8036,1,0.0,-7.8036,115,bge:0.060
To what extent are the organization's products and services information-based or information-enabled?,Algorithmic Processes; Algorithms; Analytics; Client Experience; Client Value Development; Competitive Advantage; Customer Experience; Customer Value Creation; Customized Suggestions; Data Analysis; Data Analytics; Delivery; Distribution; Effortless Transactions; Enable Differentiation; Facilitate Differentiation; Incorporation; Info-enabled; Information-based; Information-driven; Information-enabled; Instant Matching; Integration; Live Matching; Manufacturing; Market Differentiation; Optimization; Optimized; Personalized Recommendations; Physical goods; Physical products; Product; Production; Products; Promote Distinction; Real-time Matches; Seamless Transactions; Service integration; Services; Smooth Transactions; Strategic planning; Strategy; Tailored Advice; Unique Selling Proposition; User Experience; Value Generation; Value offering; Value proposition; analog; analytics; basic; business; business analytics; business intelligence; business strategy; business value; company; competitive advantage; competitive edge; corporate strategy; data; data analysis; data incorporation; data insights; data integration; data management; data-driven; delivery; design; development; enterprise; execution; goods; inefficient resource use; information; information integration; information management; integrating data; inventory optimization; less than optimal outcomes; limited; market advantage; minimal; new revenue streams; non-digital; offerings; optimize inventory; organization; organized management; outcomes; performance; physical; products; profit streams; resource inefficiency; resource management; resource utilization; results; revenue generation; services; solutions; strategic advantage; structured coordination; sub-optimal outcomes; suboptimal results; systematic orchestration; tangible; unlock revenue; value offering; value proposal; value proposition; value propositions,No relevant sentences found,Bridgette Heller • • • • 215 000 215 000 2 271 – 430 000 430 000 Daniel Hochstrasser • • • 195 000 195 000 2 059 4 675 394 675 376 341 Frans van Houten • • • 113 750 276 250 2 551 – 390 000 394 675 Ana de Pro Gonzalo • • • 195 000 195 000 2 059 – 390 000 390 000 Charles L. Sawyers • • • 180 000 180 000 1 902 – 360 000 360 000 William T. Winters • • • – 360 000 3 804 – 360 000 360 000 John D. Young • Chair 4 • 192 500 192 500 1 977 – 385 000 304 675 Subtotal 3 866 250 4 738 750 48 854 16 918 8 621 918 8 527 933 Board members who stepped down – – – – – 63 784 5 Subtotal – – – – – 63 784 Total 3 866 250 4 738 750 48 854 16 918 8 621 918 8 591 717 1 The amounts shown represent the gross number of shares delivered to each Board member in 2024 for the respective Board member’s service period.,92,,page92_chunk001,0.0413,-11.1748,-7.8099,1,0.0,-7.8099,119,minilm:0.145
To what extent are the organization's products and services information-based or information-enabled?,Algorithmic Processes; Algorithms; Analytics; Client Experience; Client Value Development; Competitive Advantage; Customer Experience; Customer Value Creation; Customized Suggestions; Data Analysis; Data Analytics; Delivery; Distribution; Effortless Transactions; Enable Differentiation; Facilitate Differentiation; Incorporation; Info-enabled; Information-based; Information-driven; Information-enabled; Instant Matching; Integration; Live Matching; Manufacturing; Market Differentiation; Optimization; Optimized; Personalized Recommendations; Physical goods; Physical products; Product; Production; Products; Promote Distinction; Real-time Matches; Seamless Transactions; Service integration; Services; Smooth Transactions; Strategic planning; Strategy; Tailored Advice; Unique Selling Proposition; User Experience; Value Generation; Value offering; Value proposition; analog; analytics; basic; business; business analytics; business intelligence; business strategy; business value; company; competitive advantage; competitive edge; corporate strategy; data; data analysis; data incorporation; data insights; data integration; data management; data-driven; delivery; design; development; enterprise; execution; goods; inefficient resource use; information; information integration; information management; integrating data; inventory optimization; less than optimal outcomes; limited; market advantage; minimal; new revenue streams; non-digital; offerings; optimize inventory; organization; organized management; outcomes; performance; physical; products; profit streams; resource inefficiency; resource management; resource utilization; results; revenue generation; services; solutions; strategic advantage; structured coordination; sub-optimal outcomes; suboptimal results; systematic orchestration; tangible; unlock revenue; value offering; value proposal; value proposition; value propositions,"We continue to prioritize platforms like RLT and RNA therapeutics, and increasingly integrate artificial intelligence and data science throughout our R&D activities.  
These tools are helping uncover potential ways to accelerate drug design and clinical trial processes.","We continue to prioritize 
platforms like RLT and RNA therapeutics, 
and increasingly integrate artificial 
intelligence and data science throughout 
our R&D activities. These tools are helping 
uncover potential ways to accelerate drug 
design and clinical trial processes. Through a combination of in-house R&D 
and targeted acquisitions and licensing 
agreements, we now have more than 
30 potential new high-value medicines 
in our pipeline and expect more than 
15 submission-enabling readouts over the 
next two years. We remain committed to environmental, 
social and governance (ESG) matters. We rank highly among industry peers in 
a range of key ESG ratings, and were 
honored to rank number one in the 2024 
Access to Medicine Index. Fostering a culture of innovation depends on 
people. We aim to recruit, retain, and cultivate 
the best talent in the world. It’s why we’ve 
rebuilt our organization to meet tomorrow’s 
global healthcare challenges through a 
simpler organization, target",5,,page5_chunk001,0.0062,-9.5258,-6.6662,1,0.5754,-7.8168,17,bm25:0.445
To what extent are the organization's products and services information-based or information-enabled?,Algorithmic Processes; Algorithms; Analytics; Client Experience; Client Value Development; Competitive Advantage; Customer Experience; Customer Value Creation; Customized Suggestions; Data Analysis; Data Analytics; Delivery; Distribution; Effortless Transactions; Enable Differentiation; Facilitate Differentiation; Incorporation; Info-enabled; Information-based; Information-driven; Information-enabled; Instant Matching; Integration; Live Matching; Manufacturing; Market Differentiation; Optimization; Optimized; Personalized Recommendations; Physical goods; Physical products; Product; Production; Products; Promote Distinction; Real-time Matches; Seamless Transactions; Service integration; Services; Smooth Transactions; Strategic planning; Strategy; Tailored Advice; Unique Selling Proposition; User Experience; Value Generation; Value offering; Value proposition; analog; analytics; basic; business; business analytics; business intelligence; business strategy; business value; company; competitive advantage; competitive edge; corporate strategy; data; data analysis; data incorporation; data insights; data integration; data management; data-driven; delivery; design; development; enterprise; execution; goods; inefficient resource use; information; information integration; information management; integrating data; inventory optimization; less than optimal outcomes; limited; market advantage; minimal; new revenue streams; non-digital; offerings; optimize inventory; organization; organized management; outcomes; performance; physical; products; profit streams; resource inefficiency; resource management; resource utilization; results; revenue generation; services; solutions; strategic advantage; structured coordination; sub-optimal outcomes; suboptimal results; systematic orchestration; tangible; unlock revenue; value offering; value proposal; value proposition; value propositions,No relevant sentences found,"No loans granted to current or former members of the Executive Committee and the Board of Directors or to “Persons closely linked” to them 2024 Executive Committee compensation system 2024 fixed pay and benefits Annual base salary Pension and other benefits Country/individual-­ specific and aligned with other employees 2024 Annual Incentive 50% cash 50% equity3 deferred for three years 2024–2026 LTPP cycle1 Equity, vesting ­following a three-year ­performance period4 Purpose Form of payment Performance measures – Cash Reflects responsibi­ lities, experience and skill sets Provide retirement and risk insurances (tailored to local market practices/ regulations) Rewards performance 
against short-term 
financial and strategic 
objectives, and Values 
and Behaviors2
Rewards long-term 
shareholder value 
­creation and innovation 
in line with our strategy
Balanced scorecard 
comprising:
•	Financial measures 
(60%)5
•	Strategic objectives 
(40%)6
•	Third-party sales 
CAGR (25%)7
•	Core opera",57,,page57_chunk001,0.1417,-11.2476,-7.8308,2,0.0,-7.8308,124,mpnet:0.260; minilm:0.233
To what extent are the organization's products and services information-based or information-enabled?,Algorithmic Processes; Algorithms; Analytics; Client Experience; Client Value Development; Competitive Advantage; Customer Experience; Customer Value Creation; Customized Suggestions; Data Analysis; Data Analytics; Delivery; Distribution; Effortless Transactions; Enable Differentiation; Facilitate Differentiation; Incorporation; Info-enabled; Information-based; Information-driven; Information-enabled; Instant Matching; Integration; Live Matching; Manufacturing; Market Differentiation; Optimization; Optimized; Personalized Recommendations; Physical goods; Physical products; Product; Production; Products; Promote Distinction; Real-time Matches; Seamless Transactions; Service integration; Services; Smooth Transactions; Strategic planning; Strategy; Tailored Advice; Unique Selling Proposition; User Experience; Value Generation; Value offering; Value proposition; analog; analytics; basic; business; business analytics; business intelligence; business strategy; business value; company; competitive advantage; competitive edge; corporate strategy; data; data analysis; data incorporation; data insights; data integration; data management; data-driven; delivery; design; development; enterprise; execution; goods; inefficient resource use; information; information integration; information management; integrating data; inventory optimization; less than optimal outcomes; limited; market advantage; minimal; new revenue streams; non-digital; offerings; optimize inventory; organization; organized management; outcomes; performance; physical; products; profit streams; resource inefficiency; resource management; resource utilization; results; revenue generation; services; solutions; strategic advantage; structured coordination; sub-optimal outcomes; suboptimal results; systematic orchestration; tangible; unlock revenue; value offering; value proposal; value proposition; value propositions,No relevant sentences found,"The payout range is 0% to 200% of on-target opportunity based on performance, as shown 
below:
PERFORMANCE	
PAYOUT (% of on-target) Outstanding	
170% – 200%
Exceeds expectations	
130% – 160%
Meets expectations	
80% – 120%
Partially meets expectations	
40% – 70%
Below expectations	
0%
  
Payout formula
Payout vehicle
•	 At the end of the performance period, 50% is paid in cash, and the remaining 50% is delivered in Novartis 
equity (restricted shares or RSUs) deferred for three years. If the shareholding requirement is met, the 
portion of the Annual Incentive that is mandatorily deferred in equity is reduced to 30%. •	 Executives may choose to receive all or part of the cash portion of their Annual Incentive in Novartis shares 
or American Depositary Receipts (ADRs; US only) that will not be subject to forfeiture conditions. In the US, 
awards may also be delivered in cash under the US deferred compensation plan. Dividend rights, voting rights  
and settlement
•	 Novartis restricted sh",86,,page86_chunk001,0.0,-11.1985,-7.8389,1,0.0,-7.8389,126,dpr:0.000
To what extent are the organization's products and services information-based or information-enabled?,Algorithmic Processes; Algorithms; Analytics; Client Experience; Client Value Development; Competitive Advantage; Customer Experience; Customer Value Creation; Customized Suggestions; Data Analysis; Data Analytics; Delivery; Distribution; Effortless Transactions; Enable Differentiation; Facilitate Differentiation; Incorporation; Info-enabled; Information-based; Information-driven; Information-enabled; Instant Matching; Integration; Live Matching; Manufacturing; Market Differentiation; Optimization; Optimized; Personalized Recommendations; Physical goods; Physical products; Product; Production; Products; Promote Distinction; Real-time Matches; Seamless Transactions; Service integration; Services; Smooth Transactions; Strategic planning; Strategy; Tailored Advice; Unique Selling Proposition; User Experience; Value Generation; Value offering; Value proposition; analog; analytics; basic; business; business analytics; business intelligence; business strategy; business value; company; competitive advantage; competitive edge; corporate strategy; data; data analysis; data incorporation; data insights; data integration; data management; data-driven; delivery; design; development; enterprise; execution; goods; inefficient resource use; information; information integration; information management; integrating data; inventory optimization; less than optimal outcomes; limited; market advantage; minimal; new revenue streams; non-digital; offerings; optimize inventory; organization; organized management; outcomes; performance; physical; products; profit streams; resource inefficiency; resource management; resource utilization; results; revenue generation; services; solutions; strategic advantage; structured coordination; sub-optimal outcomes; suboptimal results; systematic orchestration; tangible; unlock revenue; value offering; value proposal; value proposition; value propositions,No relevant sentences found,"Notes to the Novartis consolidated financial statements
﻿
F-7
portions of corporate activities attributable to Sandoz’s 
business, as well as certain expenses related to the spin-
off (the “Sandoz business”) to be reported as discontin-
ued operations. The shareholder approval on September 15, 2023, 
for the spin-off the Sandoz business, required the rec-
ognition of a distribution liability at the fair value of the 
Sandoz business. Novartis policy is to measure the dis-
tribution liability at the fair value of the Sandoz business 
net assets taken as a whole. The distribution liability was 
recognized through a reduction in retained earnings. It 
was required to be adjusted at each balance sheet date 
for changes in its estimated fair value, up to the date of 
the distribution to shareholders through retained earn-
ings. Any resulting impairment of the business assets to 
be distributed would have been recognized in the con-
solidated income statements in “Other expense” of dis-
cont",178,,page178_chunk000,0.0003,-11.21,-7.8469,1,0.0,-7.8469,128,tfidf:0.032
To what extent are the organization's products and services information-based or information-enabled?,Algorithmic Processes; Algorithms; Analytics; Client Experience; Client Value Development; Competitive Advantage; Customer Experience; Customer Value Creation; Customized Suggestions; Data Analysis; Data Analytics; Delivery; Distribution; Effortless Transactions; Enable Differentiation; Facilitate Differentiation; Incorporation; Info-enabled; Information-based; Information-driven; Information-enabled; Instant Matching; Integration; Live Matching; Manufacturing; Market Differentiation; Optimization; Optimized; Personalized Recommendations; Physical goods; Physical products; Product; Production; Products; Promote Distinction; Real-time Matches; Seamless Transactions; Service integration; Services; Smooth Transactions; Strategic planning; Strategy; Tailored Advice; Unique Selling Proposition; User Experience; Value Generation; Value offering; Value proposition; analog; analytics; basic; business; business analytics; business intelligence; business strategy; business value; company; competitive advantage; competitive edge; corporate strategy; data; data analysis; data incorporation; data insights; data integration; data management; data-driven; delivery; design; development; enterprise; execution; goods; inefficient resource use; information; information integration; information management; integrating data; inventory optimization; less than optimal outcomes; limited; market advantage; minimal; new revenue streams; non-digital; offerings; optimize inventory; organization; organized management; outcomes; performance; physical; products; profit streams; resource inefficiency; resource management; resource utilization; results; revenue generation; services; solutions; strategic advantage; structured coordination; sub-optimal outcomes; suboptimal results; systematic orchestration; tangible; unlock revenue; value offering; value proposal; value proposition; value propositions,No relevant sentences found,"2024 net sales from continuing operations by geographical region (% of net sales and in USD millions) 42% US 21 146 20% Asia, Africa, Australasia 10 021 31% Europe 15 557 7% Canada, Latin America 3 593 50 317 Key figures2 (in USD millions, unless indicated otherwise) % Change Constant 2024 2023 USD currencies Net sales from continuing operations 50 317 45 440 11 12 Operating income from continuing operations 14 544 9 769 49 55 % of net sales from continuing operations 28.9 21.5 Net income from continuing operations 11 939 8 572 39 45 Net income from discontinued operations 6 282 nm nm Net income 11 939 14 854 nm nm Basic earnings per share3 (USD) from continuing operations 5.92 4.13 43 49 Basic earnings per share3 (USD) from discontinued operations 3.02 nm nm Total basic earnings per share3 (USD) 5.92 7.15 nm nm Core operating income from continuing operations 19 494 16 372 19 22 % of net sales from continuing operations 38.7 36.0 Core net income from continuing operations 15 755 13 44",19,,page19_chunk002,0.0754,-11.2432,-7.8476,1,0.0,-7.8476,129,minilm:0.266
To what extent are the organization's products and services information-based or information-enabled?,Algorithmic Processes; Algorithms; Analytics; Client Experience; Client Value Development; Competitive Advantage; Customer Experience; Customer Value Creation; Customized Suggestions; Data Analysis; Data Analytics; Delivery; Distribution; Effortless Transactions; Enable Differentiation; Facilitate Differentiation; Incorporation; Info-enabled; Information-based; Information-driven; Information-enabled; Instant Matching; Integration; Live Matching; Manufacturing; Market Differentiation; Optimization; Optimized; Personalized Recommendations; Physical goods; Physical products; Product; Production; Products; Promote Distinction; Real-time Matches; Seamless Transactions; Service integration; Services; Smooth Transactions; Strategic planning; Strategy; Tailored Advice; Unique Selling Proposition; User Experience; Value Generation; Value offering; Value proposition; analog; analytics; basic; business; business analytics; business intelligence; business strategy; business value; company; competitive advantage; competitive edge; corporate strategy; data; data analysis; data incorporation; data insights; data integration; data management; data-driven; delivery; design; development; enterprise; execution; goods; inefficient resource use; information; information integration; information management; integrating data; inventory optimization; less than optimal outcomes; limited; market advantage; minimal; new revenue streams; non-digital; offerings; optimize inventory; organization; organized management; outcomes; performance; physical; products; profit streams; resource inefficiency; resource management; resource utilization; results; revenue generation; services; solutions; strategic advantage; structured coordination; sub-optimal outcomes; suboptimal results; systematic orchestration; tangible; unlock revenue; value offering; value proposal; value proposition; value propositions,No relevant sentences found,"Item 6.  Directors, Senior Management and Employees
﻿
121
Board Chair
The Board Chair leads the Board to represent the  interests 
of all stakeholders and ensure an appropriate balance of 
power between the Board and the Executive  Committee. In this role, the Board Chair: • Provides leadership to the Board • Supports and mentors the CEO • Ensures that the Board and its committees work effectively • Sets the agenda, style and tone of Board discus- sions, promoting constructive dialogue and effective decision-making • Ensures onboarding programs for new Board members, and continuous education for and specialization of all Board members • Ensures the Board’s annual performance evaluation • Promotes effective relationships and communication between Board and Executive Committee members • Ensures effective communication with the Company’s shareholders, other stakeholders and the public Vice-Chair and Lead Independent Director Vice-Chair The Vice-Chair has the following responsibilities: • ",125,,page125_chunk000,0.0,-11.2122,-7.8485,1,0.0,-7.8485,130,mpnet:0.000
To what extent are the organization's products and services information-based or information-enabled?,Algorithmic Processes; Algorithms; Analytics; Client Experience; Client Value Development; Competitive Advantage; Customer Experience; Customer Value Creation; Customized Suggestions; Data Analysis; Data Analytics; Delivery; Distribution; Effortless Transactions; Enable Differentiation; Facilitate Differentiation; Incorporation; Info-enabled; Information-based; Information-driven; Information-enabled; Instant Matching; Integration; Live Matching; Manufacturing; Market Differentiation; Optimization; Optimized; Personalized Recommendations; Physical goods; Physical products; Product; Production; Products; Promote Distinction; Real-time Matches; Seamless Transactions; Service integration; Services; Smooth Transactions; Strategic planning; Strategy; Tailored Advice; Unique Selling Proposition; User Experience; Value Generation; Value offering; Value proposition; analog; analytics; basic; business; business analytics; business intelligence; business strategy; business value; company; competitive advantage; competitive edge; corporate strategy; data; data analysis; data incorporation; data insights; data integration; data management; data-driven; delivery; design; development; enterprise; execution; goods; inefficient resource use; information; information integration; information management; integrating data; inventory optimization; less than optimal outcomes; limited; market advantage; minimal; new revenue streams; non-digital; offerings; optimize inventory; organization; organized management; outcomes; performance; physical; products; profit streams; resource inefficiency; resource management; resource utilization; results; revenue generation; services; solutions; strategic advantage; structured coordination; sub-optimal outcomes; suboptimal results; systematic orchestration; tangible; unlock revenue; value offering; value proposal; value proposition; value propositions,No relevant sentences found,"Item 6.  Directors, Senior Management and Employees
﻿
117
Compensation Committee
Primary responsibilities
•	 Designs, reviews and recommends compensation policies and programs to the Board (FBA)***
•	 Advises the Board on the compensation of Board members and the CEO (A/P)*
•	 Decides on the compensation of Executive Committee members (FD)* *
•	 Prepares the Compensation Report and the Say-on-Pay brochure, and submits them to the Board for approval (FBA)* ** Key activities in 2024 • Made decisions relating to Executive Committee and wider employee compensation during the year • Determined the critical performance measures (including financial, strategic, operational, innovation and ESG) to be considered in Executive incentive plan targets • Assessed the achievement of incentive plan targets for Executive Committee members • Reviewed shareholder and proxy advisor feedback related to Novartis compensation practices and disclosures, in addition to those of peer companies • Reviewed disclo",121,,page121_chunk000,0.0313,-11.2285,-7.8505,1,0.0,-7.8505,133,minilm:0.110
To what extent are the organization's products and services information-based or information-enabled?,Algorithmic Processes; Algorithms; Analytics; Client Experience; Client Value Development; Competitive Advantage; Customer Experience; Customer Value Creation; Customized Suggestions; Data Analysis; Data Analytics; Delivery; Distribution; Effortless Transactions; Enable Differentiation; Facilitate Differentiation; Incorporation; Info-enabled; Information-based; Information-driven; Information-enabled; Instant Matching; Integration; Live Matching; Manufacturing; Market Differentiation; Optimization; Optimized; Personalized Recommendations; Physical goods; Physical products; Product; Production; Products; Promote Distinction; Real-time Matches; Seamless Transactions; Service integration; Services; Smooth Transactions; Strategic planning; Strategy; Tailored Advice; Unique Selling Proposition; User Experience; Value Generation; Value offering; Value proposition; analog; analytics; basic; business; business analytics; business intelligence; business strategy; business value; company; competitive advantage; competitive edge; corporate strategy; data; data analysis; data incorporation; data insights; data integration; data management; data-driven; delivery; design; development; enterprise; execution; goods; inefficient resource use; information; information integration; information management; integrating data; inventory optimization; less than optimal outcomes; limited; market advantage; minimal; new revenue streams; non-digital; offerings; optimize inventory; organization; organized management; outcomes; performance; physical; products; profit streams; resource inefficiency; resource management; resource utilization; results; revenue generation; services; solutions; strategic advantage; structured coordination; sub-optimal outcomes; suboptimal results; systematic orchestration; tangible; unlock revenue; value offering; value proposal; value proposition; value propositions,No relevant sentences found,"Objective setting
•	The CEO proposes his targets to the 
Board Chair; they are then reviewed and 
approved by the Board of Directors. •	For other Executive Committee 
members, targets for their business 
units or functions are initially discussed 
with the CEO and subsequently 
approved by the Board of Directors. Performance evaluation
•	The CEO’s performance against 
the individual balanced scorecard is 
assessed by the Board of Directors. •	For Executive Committee members, 
the CEO discusses each member’s 
performance (assessed against 
their individual balanced scorecard) 
with the Board Chair before making 
recommendations to the Board of 
Directors for final determination. •	Periodic assessments, including at the 
mid-year stage, ensure progress is 
suitably tracked. Compensation determination 
•	A recommendation for the CEO’s 
variable pay is made by the 
Compensation Committee to the Board 
of Directors for final determination. •	For the LTPP financial measures’ 
payout schedule",90,,page90_chunk000,0.0449,-11.2357,-7.8515,1,0.0,-7.8515,134,mpnet:0.154
To what extent are the organization's products and services information-based or information-enabled?,Algorithmic Processes; Algorithms; Analytics; Client Experience; Client Value Development; Competitive Advantage; Customer Experience; Customer Value Creation; Customized Suggestions; Data Analysis; Data Analytics; Delivery; Distribution; Effortless Transactions; Enable Differentiation; Facilitate Differentiation; Incorporation; Info-enabled; Information-based; Information-driven; Information-enabled; Instant Matching; Integration; Live Matching; Manufacturing; Market Differentiation; Optimization; Optimized; Personalized Recommendations; Physical goods; Physical products; Product; Production; Products; Promote Distinction; Real-time Matches; Seamless Transactions; Service integration; Services; Smooth Transactions; Strategic planning; Strategy; Tailored Advice; Unique Selling Proposition; User Experience; Value Generation; Value offering; Value proposition; analog; analytics; basic; business; business analytics; business intelligence; business strategy; business value; company; competitive advantage; competitive edge; corporate strategy; data; data analysis; data incorporation; data insights; data integration; data management; data-driven; delivery; design; development; enterprise; execution; goods; inefficient resource use; information; information integration; information management; integrating data; inventory optimization; less than optimal outcomes; limited; market advantage; minimal; new revenue streams; non-digital; offerings; optimize inventory; organization; organized management; outcomes; performance; physical; products; profit streams; resource inefficiency; resource management; resource utilization; results; revenue generation; services; solutions; strategic advantage; structured coordination; sub-optimal outcomes; suboptimal results; systematic orchestration; tangible; unlock revenue; value offering; value proposal; value proposition; value propositions,No relevant sentences found,"Keeping the same relative nature-based solutions (NbS) vs engineering removal contribution as in our baseline, and the same volume of offsets required, we used the following BNEF forecasts: for the low price 
scenario – BNEF’s voluntary market (assuming inelastic demand) for NbS offsets and BNEF’s BECCS (bioenergy with carbon capture and storage) offset cost for engineering removals; for the high price scenario – 
BNEF’s high-quality bifurcation scenario (inelastic demand) for NbS offsets and the BNEF direct air capture offset cost for engineering removals. Transition risks and opportunities
Risks considered We assessed 18 risks and opportunities1 out of a longlist of 33 factors for impact materiality to Novartis. We drew up a shortlist of transition risks and opportunities for both climate mitigation and adaptation, and 
grouped these into three categories: litigation and reputational risk (qualitative assessment), carbon pricing and switch to low-carbon alternatives (quantitative), a",67,,page67_chunk003,0.0175,-11.2433,-7.8651,1,0.0,-7.8651,139,dpr:0.449
